ID,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Spatial Scale,Metric,Unit,Country Code,Technology Name
Off-Grid Offshore Wind Energy_Installed electricity capacity_MR,Mauritania,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MR,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MU,Mauritius,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MU,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_YT,Mayotte,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,YT,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MX,Mexico,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MX,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_FM,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,FM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MN,Mongolia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MN,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_ME,Montenegro,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,ME,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MS,Montserrat,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MS,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MA,Morocco,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MA,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MZ,Mozambique,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MZ,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_MM,Myanmar,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,MM,Off-Grid Offshore Wind Energy
