ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Corn Production_Price_HU,16.04,16.95,24.27,23.74,30.82,47.45,37.07,35.14,37.56,60.53,46.82,50.91,71.63,56.09,51.71,62.55,109.22,71.5,69.66,89.74,116.89,135.35,116.48,99.07,101.44,99.49,104.23,110.08,104.62,118.9,173.84,133.46,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Hungary,HU
Corn Production_Price_IN,22.4,22.56,23.27,26.62,27.56,27.49,29.03,32.68,35.98,35.17,33.27,36.15,35.54,42.13,39.8,54.14,56.72,59.31,65.52,77.14,84.12,91.28,87.32,94.65,100.36,104.99,110.08,109.77,107.03,106.14,104.43,102.72,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,India,IN
Corn Production_Price_ID,6.96,6.44,7.1,8.82,10.24,12.41,12.97,22.58,27.91,24.18,31.98,31.5,32.62,35.52,34.79,39.04,44.39,64.96,70.97,76.25,80.75,85.92,90.59,95.39,98.19,106.41,111.07,117.77,126.35,127.03,133.38,140.79,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Indonesia,ID
Corn Production_Price_IR,1.11,1.22,2.07,2.22,2.75,3.95,3.94,5.05,8.32,8.13,8.24,9.73,11.07,11.78,13.41,15.13,20.79,21.65,22.15,26.15,39.0,54.17,72.32,105.98,86.45,107.57,111.88,132.37,164.15,331.64,449.39,570.23,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Iran (Islamic Republic of),IR
Corn Production_Price_IQ,0.11,0.38,0.56,2.56,22.6,22.6,19.59,22.6,15.07,15.07,18.08,18.83,19.59,19.59,22.6,40.68,45.2,46.71,48.22,68.19,96.43,97.34,98.39,103.82,105.47,90.71,88.45,83.93,52.74,54.7,55.75,49.66,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Iraq,IQ
Corn Production_Price_IE,82.14,78.03,78.03,73.93,82.14,76.97,67.54,65.17,58.62,51.48,49.55,48.78,58.28,63.48,69.96,74.51,103.33,118.72,84.36,85.63,112.35,131.06,133.88,103.38,97.65,98.97,99.47,121.01,136.73,136.73,136.73,136.73,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Ireland,IE
Corn Production_Price_IL,73.15,70.54,72.49,79.79,89.63,105.11,114.71,121.34,64.95,36.01,26.4,25.2,48.01,36.01,38.41,36.01,47.77,74.55,93.6,90.56,84.4,103.81,103.26,100.24,103.31,96.45,95.13,96.18,101.42,109.75,113.85,118.64,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Israel,IL
Corn Production_Price_IT,109.3,96.47,98.38,93.31,111.44,102.66,84.92,81.43,87.85,79.91,78.35,72.31,76.31,81.32,70.79,77.38,102.32,105.25,73.94,94.55,130.42,130.54,126.2,104.8,91.55,103.65,106.65,106.86,102.31,104.11,144.29,107.69,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Italy,IT
Corn Production_Price_JM,1.38,2.33,2.49,3.82,6.92,7.09,11.26,13.0,14.78,15.36,17.17,16.86,18.63,23.03,22.49,30.53,35.48,51.86,53.2,64.66,71.59,68.95,77.11,91.35,100.77,107.88,122.69,125.36,155.06,182.24,218.83,254.34,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Jamaica,JM
Corn Production_Price_JP,498.21,502.61,512.91,512.03,526.37,526.88,522.24,526.37,520.68,510.17,513.53,505.1,489.67,459.39,463.69,476.68,246.52,250.97,274.41,225.61,156.98,109.88,98.34,96.58,100.46,102.96,108.04,110.49,103.03,105.58,108.43,110.87,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Japan,JP
Corn Production_Price_JO,38.8,38.8,38.8,44.93,40.44,26.55,25.32,29.41,29.82,37.58,41.66,34.31,31.37,35.09,35.17,42.48,51.67,70.7,63.92,69.07,73.4,65.64,66.74,88.43,94.72,116.86,106.73,73.4,82.95,81.77,81.77,81.77,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Jordan,JO
Corn Production_Price_KZ,,,,11.37,19.02,19.94,24.15,19.35,20.4,26.93,30.8,31.64,29.76,36.12,40.1,39.52,43.98,62.01,67.88,65.73,79.01,84.37,89.04,85.48,100.62,113.9,109.21,114.33,170.88,213.67,166.14,180.55,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Kazakhstan,KZ
Corn Production_Price_KE,9.4,7.85,26.55,31.12,26.21,29.48,44.99,42.08,45.4,47.48,43.6,36.51,39.18,50.26,49.92,50.3,51.32,80.11,78.34,56.39,81.9,111.25,102.64,108.72,94.03,97.26,119.6,113.0,108.11,101.56,98.28,93.01,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Kenya,KE
Corn Production_Price_KW,,,,,,,,,,,,,,,,,,,,,,,,85.71,85.71,128.57,100.71,100.71,105.0,68.57,70.71,71.52,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Kuwait,KW
Corn Production_Price_KG,,,,,,,,15.92,20.47,24.97,37.27,27.55,27.28,36.25,33.3,38.85,61.45,79.1,63.92,52.21,110.27,108.39,107.72,95.96,119.77,84.28,88.34,103.68,96.0,111.78,166.68,165.03,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Kyrgyzstan,KG
Corn Production_Price_LA,4.85,5.05,5.24,5.45,6.6,12.13,16.17,20.38,33.64,33.96,48.2,54.99,57.71,60.44,63.16,65.89,68.61,71.34,74.06,76.78,79.51,83.52,90.77,96.39,99.46,104.15,101.49,103.62,104.08,102.74,101.21,99.68,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Lao People's Democratic Republic,LA
Corn Production_Price_LV,,165.84,82.92,82.92,82.92,82.92,71.24,56.77,54.45,59.69,54.45,55.38,58.84,63.51,57.9,70.72,118.66,94.32,66.98,100.47,128.56,149.8,121.78,102.84,102.84,94.33,98.2,119.18,117.51,117.51,117.51,117.51,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Latvia,LV
